abbreviation
2E
1W
2W
2E
1W
2W
2E
1W
2W
1W
2E
2W
2E
1W
2W
1W
2E
2W
2E
1W
2W
1W
2E
2W
1W
2E
2W
1W
2E
2W
1W
2E
2W
1W
2E
2W
2E
1W
6
2E
1W
6
2E
1W
6
2E
1W
6
2E
1W
6
2E
1W
2W
2E
1W
2W
2E
1W
2W
2E
1W
2W
2E
1W
6
2E
1W
6
2E
1W
6
2E
1W
6
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1E
1W
2E
1W
2W
2E
1W
2W
2E
1W
2W
2E
1W
2W
2E
1W
2W
2E
1W
2W
2E
1W
2W
2E
1W
6
2E
1W
6
2E
1W
6
2E
1W
6
2E
1W
2W
2E
1W
2W
2E
1W
2W
2E
1W
6
2E
1W
6
2E
1W
6
