timestamp,busyness,people,id,percentage
2023-07-17 09:33:00,7,13,8,0.07
2023-07-17 09:46:00,7,13,8,0.07
2023-07-17 10:30:00,16,32,8,0.16
2023-07-17 11:00:00,13,25,8,0.13
2023-07-17 11:30:00,22,42,8,0.22
2023-07-17 12:00:00,24,47,8,0.24
2023-07-17 12:30:00,19,38,8,0.19
2023-07-17 13:00:00,23,45,8,0.23
2023-07-17 13:30:00,23,44,8,0.23
2023-07-17 14:00:00,27,53,8,0.27
2023-07-17 14:30:00,35,69,8,0.35
2023-07-17 15:00:00,34,66,8,0.34
2023-07-17 15:30:00,32,63,8,0.32
2023-07-17 16:00:00,44,85,8,0.44
2023-07-17 16:30:00,46,90,8,0.46
2023-07-17 17:00:00,42,81,8,0.42
2023-07-17 17:30:00,48,94,8,0.48
2023-07-17 18:00:00,29,56,8,0.29
2023-07-17 18:30:00,28,54,8,0.28
2023-07-17 19:00:00,16,32,8,0.16
2023-07-17 19:30:00,14,28,8,0.14
2023-07-17 20:00:00,11,22,8,0.11
2023-07-17 20:30:00,9,18,8,0.09
2023-07-17 21:00:00,8,15,8,0.08
2023-07-17 21:30:00,3,5,8,0.03
2023-07-17 22:00:00,2,3,8,0.02
2023-07-17 22:30:00,1,2,8,0.01
2023-07-17 23:00:00,1,2,8,0.01
2023-07-17 23:30:00,1,2,8,0.01
2023-07-18 00:00:00,1,2,8,0.01
2023-07-18 00:30:00,1,2,8,0.01
2023-07-18 01:00:00,1,2,8,0.01
2023-07-18 01:30:00,1,1,8,0.01
2023-07-18 02:00:00,1,2,8,0.01
2023-07-18 02:30:00,0,0,8,0.0
2023-07-18 03:00:00,0,0,8,0.0
2023-07-18 03:30:00,0,0,8,0.0
2023-07-18 04:00:00,0,0,8,0.0
2023-07-18 04:30:00,0,0,8,0.0
2023-07-18 05:00:00,0,0,8,0.0
2023-07-18 05:30:00,0,0,8,0.0
2023-07-18 06:00:00,1,3,8,0.01
2023-07-18 06:30:00,1,2,8,0.01
2023-07-18 07:00:00,1,2,8,0.01
2023-07-18 07:30:00,2,3,8,0.02
2023-07-18 08:00:00,2,4,8,0.02
2023-07-18 08:30:00,5,10,8,0.05
2023-07-18 09:00:00,6,12,8,0.06
2023-07-18 09:30:00,7,14,8,0.07
2023-07-18 10:00:00,8,16,8,0.08
2023-07-18 10:30:00,4,8,8,0.04
2023-07-18 11:00:00,4,8,8,0.04
2023-07-18 11:30:00,25,48,8,0.25
2023-07-18 12:00:00,24,46,8,0.24
2023-07-18 12:30:00,23,44,8,0.23
2023-07-18 13:00:00,27,53,8,0.27
2023-07-18 13:30:00,25,49,8,0.25
2023-07-18 14:00:00,30,59,8,0.3
2023-07-18 14:30:00,39,76,8,0.39
2023-07-18 15:00:00,40,78,8,0.4
2023-07-18 15:30:00,31,61,8,0.31
2023-07-18 16:00:00,34,67,8,0.34
2023-07-18 16:30:00,38,74,8,0.38
2023-07-18 17:00:00,49,95,8,0.49
2023-07-18 17:30:00,43,85,8,0.43
2023-07-18 18:00:00,33,64,8,0.33
2023-07-18 18:30:00,25,50,8,0.25
2023-07-18 18:50:00,23,45,8,0.23
2023-07-18 18:51:00,23,45,8,0.23
2023-07-18 19:00:00,21,40,8,0.21
2023-07-18 19:30:00,21,42,8,0.21
2023-07-18 20:00:00,15,30,8,0.15
2023-07-18 20:30:00,13,25,8,0.13
2023-07-18 20:53:00,12,24,8,0.12
2023-07-18 20:57:00,13,25,8,0.13
2023-07-18 21:00:00,13,25,8,0.13
2023-07-18 21:30:00,8,15,8,0.08
2023-07-18 22:00:00,2,3,8,0.02
2023-07-18 22:30:00,2,3,8,0.02
2023-07-18 23:00:00,2,4,8,0.02
2023-07-18 23:30:00,2,4,8,0.02
2023-07-19 00:00:00,2,3,8,0.02
2023-07-19 00:30:00,2,4,8,0.02
2023-07-19 01:00:00,1,3,8,0.01
2023-07-19 01:30:00,1,2,8,0.01
2023-07-19 02:00:00,1,2,8,0.01
2023-07-19 02:30:00,3,5,8,0.03
2023-07-19 03:00:00,1,2,8,0.01
2023-07-19 03:30:00,1,2,8,0.01
